Diameter,Intensity,Y,Species
9,0.0217509,0,BA
14,0.0217509,0,BA
18,0.0217509,0,BA
23,0.0217509,0,BA
9,0.0217509,0,BA
16,0.0217509,0,BA
10,0.0217509,0,PB
5,0.024212,0,BA
6,0.024212,0,BA
9,0.024212,0,BA
6,0.024212,0,BA
9,0.024212,0,BA
21,0.024212,0,BA
12,0.024212,0,BA
13,0.024212,0,BA
14,0.024212,0,BA
6,0.024212,0,BA
9,0.024212,0,BF
7,0.0278677,0,BA
5,0.0278677,0,BA
6,0.0278677,0,BA
6,0.0278677,0,BA
28,0.0278677,0,C
6,0.0278677,0,C
11,0.0305947,0,BF
9,0.0305947,0,BF
35,0.0305947,0,C
21,0.0305947,0,C
20,0.0305947,0,C
25,0.0305947,0,C
34,0.0305947,0,C
18,0.0305947,0,C
14,0.0305947,0,C
25,0.0305947,0,C
25,0.0305947,0,C
28,0.0305947,0,C
19,0.0305947,0,C
10,0.0305947,0,PB
15,0.0323448,0,BA
9,0.0323448,0,BA
9,0.0323448,0,BA
15,0.0323448,0,BA
10,0.0323448,0,BA
10,0.0323448,0,BA
16,0.0323448,0,BA
25,0.0323448,0,C
16,0.0323448,0,C
19,0.0323448,0,C
26,0.0323448,0,C
31,0.0323448,0,C
9,0.0341815,0,BF
5,0.0341815,0,BF
8,0.0341815,0,BF
8,0.0341815,0,BF
6,0.0341815,0,BF
8,0.0341815,0,BF
5,0.0341815,0,BF
33,0.0341815,0,C
19,0.0341815,0,C
37,0.0341815,0,JP
22,0.0345653,0,BF
20,0.0345653,0,PB
24,0.037267,1,A
10,0.037267,0,RM
10,0.037267,1,RM
5,0.0398276,0,C
25,0.0398276,1,C
5,0.0398276,0,C
16,0.0398276,0,C
14,0.0398276,0,C
16,0.0398276,0,C
12,0.0398276,0,C
7,0.0398276,0,PB
6,0.0398276,0,PB
6,0.0398276,0,PB
8,0.0398276,0,PB
6,0.0461334,0,BF
13,0.0479708,0,BS
20,0.0479708,0,C
22,0.0479708,0,C
27,0.0479708,0,C
8,0.0514511,0,BF
22,0.0514511,0,C
21,0.0514511,0,C
12,0.0514511,0,PB
15.5,0.0521484,0,PB
17,0.0521484,0,PB
15,0.0521484,0,PB
16,0.0521484,0,PB
21,0.0525153,0,BS
26,0.0525153,0,BS
38,0.0525153,0,C
31,0.0536769,1,RP
17,0.054777,0,A
12,0.054777,0,A
8,0.054777,0,BF
9,0.054777,0,BF
10,0.054777,0,BF
14,0.054777,0,PB
7,0.0552361,0,BF
22,0.0563668,0,A
45,0.0563668,0,RP
14,0.0571445,1,JP
30,0.0571445,1,JP
30,0.0571445,1,JP
16,0.0571445,1,JP
13,0.0571445,1,PB
14,0.0571646,1,JP
18,0.0571646,1,JP
17,0.0571646,1,JP
14,0.0571646,1,JP
14,0.0571646,1,JP
13,0.0571646,1,JP
18,0.0571646,1,JP
14,0.0575282,0,BF
15,0.0575282,0,BF
17,0.0575282,0,BF
12,0.0575282,0,BF
14,0.0575282,0,PB
10.5,0.0575282,0,PB
11.5,0.0575282,0,PB
21,0.0575282,0,PB
19,0.0575282,0,PB
19,0.0597874,0,BS
6,0.0649814,0,BS
8,0.0649814,0,BS
9,0.0649814,0,BS
18,0.0649814,0,BS
10,0.0649814,0,BS
13,0.0649814,0,BS
11,0.0649814,0,BS
10,0.0649814,0,BS
34,0.0649814,0,RP
15,0.0662406,1,BS
22,0.0662406,1,JP
20,0.0662406,1,JP
23,0.0662406,0,JP
24.5,0.0662406,0,JP
20,0.0678602,0,BS
34,0.0678602,0,BS
12,0.0678602,0,RM
17,0.0678602,0,RM
8,0.0687957,0,BF
37,0.0687957,0,JP
21,0.0687957,0,JP
5,0.0687957,0,RM
6,0.0687957,0,RM
12,0.068874,1,A
25,0.068874,1,A
25,0.068874,1,A
25,0.068874,1,A
14,0.0693424,0,BF
12,0.0693424,0,BF
16,0.0693424,0,BS
15,0.0693424,0,BS
17,0.0693424,0,RM
16,0.0693424,0,RM
16,0.0693424,0,RM
11,0.0693424,0,RM
22,0.0697707,0,A
24,0.0697707,0,JP
10,0.071072,0,A
18,0.071072,0,BF
13,0.071072,0,BF
8,0.071072,0,PB
8.5,0.071072,0,PB
37.5,0.0712564,0,A
23,0.0723925,0,JP
5,0.0723925,0,PB
8,0.0726807,0,BF
7,0.0726807,0,BF
11,0.0726807,0,BS
14,0.0726807,1,BS
21,0.0726807,0,BS
11,0.0726807,1,PB
